id,companyName,ecosystemName,ecosystemSecondary,dateFounded,primaryTag,secondaryTag,latestRoundType,latestRoundDate,dateAcqusition,acquiringCompany,ipoDate,peDate,deadFlag,logoUrlCdn
1,3E Nano,Toronto,,2015-01-01,CleanTech,GreenTech,Seed,2023-03-30,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/1.png
2,AbCellera,British Columbia,,2012-01-01,BioTech,,Series ?,2023-05-24,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/2.png
3,Abdera Therapeutics,British Columbia,,2021-01-01,HealthTech,BioTech,Series B,2023-04-24,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/3.png
4,Able Innovations,Toronto,,2018-02-26,HealthTech,Computer Vision,Seed,2022-05-30,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/4.png
5,Aboard,Toronto,,2020-04-01,SaaS,HRTech,Pre-Seed,2021-05-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/5.png
6,AceAge,Toronto,,2015-02-18,HealthTech,Hardware,Series A,2020-12-03,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/6.png
7,Acerta Analytics,Waterloo Region,,2017-02-01,AI,Automotive,Series B,2022-11-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/7.png
8,Acorn,Toronto,,2017-01-01,BioTech,,Series ?,2021-04-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/8.png
9,ACTO,Toronto,,2014-07-20,HealthTech,Business Intelligence,Series B,2022-07-07,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/9.png
10,Acuva,British Columbia,,2014-01-01,CleanTech,,Series B,2020-02-06,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/10.png
11,Ada,Toronto,,2016-01-01,AI,Intelligent Systems,Series C,2021-05-07,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/11.png
12,Adaptive Pulse,Waterloo Region,,2020-01-01,AI,CRM,Pre-Seed,2021-09-27,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/12.png
13,Adela,Toronto,,2020-01-01,BioTech,HealthTech,Series A,2021-06-23,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/13.png
14,AdeptMind,Toronto,,2016-09-01,AI,eCommerce,Series A,2021-06-03,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/14.png
15,AdHawk Microsystems,Waterloo Region,,2015-01-01,Hardware,,Series ?,2019-03-28,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/15.png
16,AdSkate,Toronto,,2019-04-01,AdTech,Advertising,Seed,2021-06-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/16.png
17,AecopaQ,Quebec,,2013-01-01,GreenTech,,Seed,2020-02-19,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/17.png
18,Aerial Technologies,Quebec,Montreal,2015-06-01,Analytics,,Series A,2020-10-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/18.png
19,Agnostiq,Toronto,,2018-08-01,Quantum,CyberSecurity,Series ?,2023-04-06,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/19.png
20,Aifred Health,Quebec,Montreal,2017-01-01,HealthTech,HealthTech,Seed,2020-12-08,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/20.png
21,Airex Energy,Quebec,Montreal,2008-01-01,CleanTech,,Series D,2024-06-18,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/21.png
23,AlayaCare,Quebec,Montreal,2014-08-01,HealthTech,Hospital,Series ?,2024-02-29,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/23.png
24,Alida,Toronto,,2000-01-01,SaaS,,Series ?,2022-11-09,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/24.png
25,Alkemi,Toronto,,2018-02-20,Cryptocurrency,Bitcoin,Seed,2021-05-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/25.png
26,Allegory Insurance,Toronto,,2019-01-01,FinTech,AI,Pre-Seed,2021-04-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/26.png
27,Alpha9 Theranostics,British Columbia,,2019-01-01,BioTech,Medical,Series A,2021-04-28,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/27.png
28,AmacaThera,Toronto,,2015-01-01,BioTech,Biopharma,Series A,2021-02-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/28.png
29,Amber Molecular,Toronto,,2017-01-01,CleanTech,OLED,Series A,2020-06-24,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/29.png
30,Ambyint,Alberta,Calgary,2015-01-01,CleanTech,AI,Series ?,2023-11-17,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/30.png
31,Ananda Devices,Quebec,Montreal,2015-11-06,BioTech,,Series ?,2020-04-09,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/31.png
34,AON3D,Quebec,Montreal,2015-01-01,3DTech,3D Printing,Series A,2021-09-08,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/34.png
35,Aplic.io,British Columbia,,2018-05-08,EdTech,College Recruiting,Pre-Seed,2021-01-25,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/35.png
36,Apollo,British Columbia,,2018-01-01,InsurTech,FinTech,Series B,2022-03-11,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/36.png
37,AppDirect,Quebec,Montreal,2009-01-01,eCommerce,,Series ?,2020-09-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/37.png
38,ApplyBoard,Waterloo Region,,2015-05-01,SaaS,EdTech,Series ?,2024-09-17,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/38.png
39,AppMed,Quebec,Montreal,0000-00-00,HealthTech,SaaS,Series ?,2020-04-30,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/39.png
40,Appnovation,British Columbia,,2007-01-01,Analytics,,Series ?,2020-09-28,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/40.png
41,Arbor,Alberta,Calgary,2020-09-29,Marketplace,Analytics,Seed,2020-12-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/41.png
43,Armilla AI,Toronto,,2019-01-01,Platform,QA,Seed,2024-02-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/43.png
44,Arolytics,Alberta,Calgary,2018-01-01,Analytics,Enterprise Software,Seed,2021-02-10,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/44.png
45,Artboard Studio,Toronto,,2018-11-11,SaaS,Brand Marketing,Seed,2021-06-08,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/45.png
46,Arteria AI,Toronto,,2020-01-01,AI,Contact Management,Series B,2023-10-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/46.png
48,ARTMS,British Columbia,,2013-01-01,HealthTech,,Grant,2021-03-02,0000-00-00,,0000-00-00,0000-00-00,1,https://cdn.briefed.in/companies/48.png
49,Aspect Biosystems,British Columbia,,2013-11-19,BioTech,,Series B,2025-01-08,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/49.png
50,Athennian,Alberta,Calgary,2016-07-16,LegalTech,SaaS,Series B,2022-01-30,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/50.png
51,Atomic Finance,Toronto,,2019-01-01,Blockchain,Cryptocurrency,Seed,2020-12-27,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/51.png
52,ATTAbotics,Alberta,Calgary,2015-01-01,Robotics,,Series C,2022-11-18,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/52.png
