id,companyId,companyName,headquarters,ecosystemName,ecosystemSecondary,primaryTag,leadInvestors,investors,roundType,date,amount,year,yearQuarter
1,677,Verda,Kitchener,Waterloo Region,,eCommerce,Chicago ArchAngels,"Chicago ArchAngels, Corbin Kempenaar",Pre-Seed,2019-01-01,420000,2019,2019 Q1
2,134,ClearVoxel,Waterloo,Waterloo Region,,AI,,,Seed,2019-01-01,50000,2019,2019 Q1
3,459,Ostara,British Columbia,British Columbia,,CleanTech,,,Series ?,2019-01-03,14595900,2019,2019 Q1
4,218,Evercloak,Waterloo,Waterloo Region,,NanoTech,,,Seed,2019-01-07,125000,2019,2019 Q1
5,654,Trufan,Toronto,Toronto,,MarTech,,,Pre-Seed,2019-01-09,199035,2019,2019 Q1
6,114,Carbon Engineering,British Columbia,British Columbia,,CleanTech,,,Series ?,2019-01-09,90229200,2019,2019 Q1
7,532,RoomVu,Vancouver,British Columbia,,AdTech,7 Gate Ventures,7 Gate Ventures,Pre-Seed,2019-01-29,70000,2019,2019 Q1
8,633,Thoughtexchange,Rossland,British Columbia,,SaaS,Yaletown Partners,Yaletown Partners,Series B,2019-01-30,4000000,2019,2019 Q1
9,609,Svante,British Columbia,British Columbia,,CleanTech,,,Series ?,2019-02-06,6634500,2019,2019 Q1
10,218,Evercloak,Waterloo,Waterloo Region,,NanoTech,,,Seed,2019-02-11,30000,2019,2019 Q1
11,283,HITCH Tech Inc,Waterloo,Waterloo Region,,EdTech,,,Seed,2019-02-11,30000,2019,2019 Q1
12,284,Hodlbot,Kitchener,Waterloo Region,,FinTech,,,Seed,2019-02-11,30000,2019,2019 Q1
13,383,Membio,Kitchener,Waterloo Region,,BioTech,,,Seed,2019-02-11,30000,2019,2019 Q1
14,566,Sitka Biopharma,British Columbia,British Columbia,,BioTech,Centre for Drug Research and Development,Centre for Drug Research and Development,Series ?,2019-02-11,1200000,2019,2019 Q1
15,167,D-Wave Systems,British Columbia,British Columbia,,Quantum,,,Series ?,2019-02-11,20462000,2019,2019 Q1
16,200,Edvisor.io,British Columbia,British Columbia,,SaaS,,,Seed,2019-02-13,3000000,2019,2019 Q1
17,156,CoPilot,British Columbia,British Columbia,,FinTech,,,Series A,2019-02-19,3000000,2019,2019 Q1
18,398,Mojio,Vancouver,British Columbia,,FinTech,,,Series B,2019-02-20,53076000,2019,2019 Q1
19,623,Terramera,British Columbia,British Columbia,,AgrTech,BDC Capital,BDC Capital,Series ?,2019-02-21,13269000,2019,2019 Q1
20,139,CMD,Vancouver,British Columbia,,Cybersecurity,GV,"Amplify Partners, Decibel Partners, Expa, GV",Series B,2019-02-26,19903500,2019,2019 Q1
21,186,DOZR,Kitchener,Waterloo Region,,Marketplace,"BaseCamp Equity Partners, Juan Carlos Mas","BaseCamp Equity Partners, Fair Ventures, Juan Carlos Mas",Series A,2019-02-27,14000000,2019,2019 Q1
22,215,eSentire,Waterloo Region,Waterloo Region,,CyberSecurity,Warburg Pincus,"Edison Partners, Georgian, Warburg Pincus",Series ?,2019-03-04,62364300,2019,2019 Q1
23,579,Solv3D,Calgary,Alberta,Calgary,GeoTech,,,Series ?,2019-03-04,1350000,2019,2019 Q1
24,1322,Sanctuary AI,Vancouver,British Columbia,,AI,,,Series ?,2019-03-06,3000000,2019,2019 Q1
25,298,Illusense,British Columbia,British Columbia,,AI,,,Series C,2019-03-12,250000,2019,2019 Q1
26,717,ZayZoon,Calgary,Alberta,Calgary,FinTech,"Derrick Hunter, Russell Wilson","Derrick Hunter, Russell Wilson",Series ?,2019-03-12,15000000,2019,2019 Q1
27,593,Stabilo Medical,Kitchener,Waterloo Region,,Wearables,,,Seed,2019-03-13,25000,2019,2019 Q1
28,203,Ekona Power,Burnaby,British Columbia,,CleanTech,,,Seed,2019-03-14,0,2019,2019 Q1
29,93,Bridgit,Waterloo,Waterloo Region,,SaaS,BDC Capital,"BDC Capital, BDC Capital, Innovation Grade Capital, MaRS Investment Accelerator Fund, Salesforce Ventures, Sands Capital Ventures, StandUp Ventures, Vanedge Capital",Series A,2019-03-18,6200000,2019,2019 Q1
30,386,Metabolik,British Columbia,British Columbia,,BioTech,,,Series B,2019-03-19,0,2019,2019 Q1
31,55,Avidbots,Kitchener,Waterloo Region,,Robotics,True Ventures,"500 Startups, BDC Capital, GGV Capital, KCPL, Next47, Real Ventures, SOSV, True Ventures",Series B,2019-03-21,31314840,2019,2019 Q1
32,202,EIS,British Columbia,British Columbia,,AgTech,,,Seed,2019-03-22,7165260,2019,2019 Q1
33,121,Channel Gate Technologies,British Columbia,British Columbia,,eCommerce,,,Series ?,2019-03-25,5853000,2019,2019 Q1
34,565,SiteVue,Kitchener,Waterloo Region,,SaaS,Velocity,"Creative Destruction Lab (CDL), DMZ, Velocity",Series ?,2019-03-27,50000,2019,2019 Q1
35,656,Tugolo,Waterloo,Waterloo Region,,TravelTech,,,Seed,2019-03-28,50000,2019,2019 Q1
36,15,AdHawk Microsystems,Kitchener,Waterloo Region,,Hardware,,,Series ?,2019-03-28,35000000,2019,2019 Q1
37,688,Vital Bio,Toronto,Toronto,,BioTech,,,Seed,2019-04-02,0,2019,2019 Q2
38,8,Acorn,Toronto,Toronto,,BioTech,,"Real Ventures, Globalive Technology, Pool Global Partners, Epic Capital Management",Seed,2019-01-21,3300000,2019,2019 Q1
39,262,GenXys Health Care Systems,Vancouver,British Columbia,,BioTech,,,Seed,2019-04-02,1770000,2019,2019 Q2
40,268,Grow,British Columbia,British Columbia,,FinTech,,,Series A,2019-04-08,100000,2019,2019 Q2
41,275,HausWay,British Columbia,British Columbia,,PropertyTech,,,Series ?,2019-04-10,250000,2019,2019 Q2
42,261,General Fusion,British Columbia,British Columbia,,CleanTech,,,Series ?,2019-04-15,2270000,2019,2019 Q2
43,120,Chalk,Waterloo,Waterloo Region,,EdTech,,,Seed,2019-04-17,1200000,2019,2019 Q2
44,164,CTO.ai,Vancouver,British Columbia,,SaaS,,,Seed,2019-04-22,5971050,2019,2019 Q2
45,692,Voda Safe,British Columbia,British Columbia,,Hardware,,,Series B,2019-04-23,200000,2019,2019 Q2
46,355,LightIntegra Technology,British Columbia,British Columbia,,BioTech,,,Series A,2019-04-24,7032570,2019,2019 Q2
47,584,Spare,Vancouver,British Columbia,,SaaS,Mitsubishi,Mitsubishi,Seed,2019-04-30,6000000,2019,2019 Q2
48,76,Biolux Research,British Columbia,British Columbia,,HealthTech,,,Series A,2019-04-30,18576600,2019,2019 Q2
49,337,Kobalt Security,British Columbia,British Columbia,,SaaS,,,Seed,2019-05-01,1000000,2019,2019 Q2
50,417,Nicoya Lifesciences,Waterloo,Waterloo Region,,BioTech,,,Series ?,2019-05-03,7710000,2019,2019 Q2
51,587,Spocket,British Columbia,British Columbia,,eCommerce,,,Series B,2019-05-07,1200000,2019,2019 Q2
52,68,Beanworks,British Columbia,British Columbia,,FinTech,,,Series ?,2019-05-08,2678000,2019,2019 Q2
53,417,Nicoya Lifesciences,Waterloo,Waterloo Region,,BioTech,,,Series ?,2019-05-14,3410133,2019,2019 Q2
54,472,PDFTron,British Columbia,British Columbia,,SaaS,Silversmith Capital Partners,Silversmith Capital Partners,Series ?,2019-05-16,95000000,2019,2019 Q2
55,490,PocketPills,Surrey,British Columbia,,HealthTech,WaterBridge Ventures,WaterBridge Ventures,Seed,2019-05-17,2000000,2019,2019 Q2
58,93,Bridgit,Waterloo,Waterloo Region,,SaaS,FedDev,FedDev,Series ?,2019-05-22,750000,2019,2019 Q2
59,421,North,Waterloo,Waterloo Region,,Wearables,,,Series ?,2019-05-22,53076000,2019,2019 Q2
60,38,ApplyBoard,Waterloo,Waterloo Region,,SaaS,,"Anthos Capital, Artiman Ventures, Golden Ventures, Think + Ventures",Series B,2019-05-27,55000000,2019,2019 Q2
61,569,Skritswap,Waterloo Region,Waterloo Region,,ioT,,,Series ?,2019-05-30,250000,2019,2019 Q2
62,133,Clearpath Robotics,Kitchener,Waterloo Region,,Robotics,,,Series ?,2019-05-31,1500000,2019,2019 Q2
63,136,Clir Renewables,Vancouver,British Columbia,,SaaS,,,Seed,2019-06-04,1900000,2019,2019 Q2
64,171,Damon,Vancouver,British Columbia,,AutoTech,,,Seed,2019-06-04,3317250,2019,2019 Q2
65,677,Verda,Kitchener,Waterloo Region,,eCommerce,,Accelerator Centre,Seed,2019-06-10,30000,2019,2019 Q2
66,348,Lean Payments,Waterloo,Waterloo Region,,FinTech,Accelerator Centre,Accelerator Centre,Seed,2019-06-10,39807,2019,2019 Q2
67,174,Decisive Farming,Calgary,Alberta,Calgary,AgTech,,,Series B,2019-06-10,2750000,2019,2019 Q2
68,669,Userful,Calgary,Alberta,Calgary,RetailTech,Accelerate Fund,,Seed,2019-06-11,3000000,2019,2019 Q2
69,648,Traction on Demand,British Columbia,British Columbia,,SaaS,,,Series A,2019-06-13,17000000,2019,2019 Q2
70,647,Traction Guest,Burnaby,British Columbia,,SaaS,Bessemer Venture Partners,"Bessemer Venture Partners, Salesforce Ventures",Series A,2019-06-13,17249700,2019,2019 Q2
