id,investorName,investorType,city,country,sectors,stages,logoURL
1,212,,Istanbul,Turkey,SaaS,Seed,https://pbs.twimg.com/profile_images/1069295820070154241/OsljRpv1_400x400.jpg
2,2048 Ventures,,New York,USA,"Aerospace, BioTech, HealthTech, PropertyTech","Pre-Seed, Seed",https://pbs.twimg.com/profile_images/1084785446662651904/TsjBU4Eo_400x400.jpg
3,205 Capital,Venture Capital,Menlo Park,USA,CyberSecurity,Series B,
4,3GP Capital,,,Canada,Media,Seed,
5,3L Capital,,Los Angeles,USA,SaaS,Series B,https://pbs.twimg.com/profile_images/1177612595819352065/B-ya11BO_400x400.png
6,468 Capital,Venture Capital,,Germany,AI,Seed,
7,500 Startups,"Accelerator, Venture Capital",San Francisco,USA,"EdTech, FinTech, InsurTech, LogisticsTech, Marketplace, PropertyTech, Robotics, SaaS, eCommerce","Pre-Seed, Seed, Series A, Series B, Series D",https://pbs.twimg.com/profile_images/1438113086913794048/cBzrL1b9_400x400.png
8,7 Gate Ventures,Venture Capital,Vancouver,Canada,AdTech,Pre-Seed,https://pbs.twimg.com/profile_images/1025204908062994432/VOmV71_Q_400x400.jpg
9,7wire Ventures,"Micro VC, Venture Capital",Chicago,USA,HealthTech,Series B,https://pbs.twimg.com/profile_images/1326602477932863491/H7dE8yp0_400x400.png
10,8VC,Venture Capital,San Francisco,USA,"AutoTech, BioTech","Seed, Series A",https://pbs.twimg.com/profile_images/671464823503192065/I5eGKMhj_400x400.png
11,A.Capital Ventures,Venture Capital,Menlo Park,USA,Blockchain,Series B,
12,A/O PropTech,Venture Capital,London,United Kingdom,AI,Series A,https://pbs.twimg.com/profile_images/1161726543216959488/orPYaeq3_400x400.jpg
13,a16z crypto,Venture Capital,Menlo Park,USA,Blockchain,,https://pbs.twimg.com/profile_images/1359170208879968256/GrGmuXo0_400x400.png
14,Aaron Gordon,Angel,,USA,Blockchain,Series B,
15,Aaron Henshaw,,Brooklyn,USA,Blockchain,Seed,https://pbs.twimg.com/profile_images/552875032204939264/_1Tl3eQE_400x400.png
16,AC Capital,Venture Capital,,China,FinTech,Seed,
17,Accel,Venture Capital,Palo Alto,USA,"AI, CyberSecurity","Series A, Series B, Series C",https://pbs.twimg.com/profile_images/1463233614766698498/vCzyYhoJ_400x400.jpg
18,Accelerate Fund,"Angel Group, Micro VC",Calgary,Canada,"FinTech, HealthTech, SaaS, SportsTech","Pre-Seed, Series A",https://pbs.twimg.com/profile_images/626494080822804480/ff8yWS4k_400x400.png
19,Accelerator Centre,Accelerator,Waterloo,Canada,"AgTech, BioTech, Data, FinTech, MarTech, SaaS, eCommerce",Seed,https://pbs.twimg.com/profile_images/1412019892560314369/R-dSPbuF_400x400.png
20,Accenture,,Dublin,Ireland,"FinTech, SaaS","Series A, Series B",
21,Accomplice,Venture Capital,Cambridge,USA,"Analytics, FinTech, Marketplace","Seed, Series A, Series E",https://pbs.twimg.com/profile_images/615363453725753344/Ao08z3an_400x400.png
22,ACE & Company,,Geneva,Switzerland,Analytics,Series C,https://pbs.twimg.com/profile_images/1463887274312179715/SDuDOCBA_400x400.png
23,Acrew Capital,Venture Capital,Palo Alto,USA,eCommerce,Series B,https://pbs.twimg.com/profile_images/1442866676341436418/aEKBec0P_400x400.png
24,Active Capital,"Micro VC, Venture Capital",San Antonio,USA,SaaS,Seed,https://pbs.twimg.com/profile_images/897240597081108480/Y-0IEpyH_400x400.jpg
25,Active Impact Investments,Venture Capital,North Vancouver,Canada,"CleanTech, SaaS","Seed, Series B",https://pbs.twimg.com/profile_images/1366536666433736705/HrnyLvN2_400x400.jpg
26,Adam Gross,,San Francisco,USA,SaaS,Seed,https://pbs.twimg.com/profile_images/442874034913419265/5ZOJooRC_400x400.jpeg
27,Adam Morley,Angel,,USA,BioTech,,https://pbs.twimg.com/profile_images/1123340104452337664/Bd72-iys_400x400.jpg
28,Adams Street Partners,,Chicago,USA,"Analytics, BioTech","Series B, Series E",
29,Addition,"Private Equity Firm, Venture Capital",New York,USA,"AI, DevTech","Series A, Series B",
30,Advisors.fund,Venture Capital,San Francisco,USA,SaaS,Seed,
31,Afore Capital,"Micro VC, Venture Capital",San Francisco,USA,FinTech,Series A,https://pbs.twimg.com/profile_images/914719666077032448/fjMv_Aat_400x400.jpg
32,AG Ventures,,Brooklyn,USA,Blockchain,Series C,
33,Agriculture and Agri-Food Canada,,Ottawa,Canada,agTech,Grant,
34,Ajay Shah,Angel,,USA,AI,Seed,
35,Alameda Research,,Central and Western,Hong Kong,Blockchain,"Seed, Series A",https://pbs.twimg.com/profile_images/1090846596445528065/SdTwvKPT_400x400.jpg
36,Alan Howard,Angel,,,FinTech,"Series A, Series B",
37,Alarko Ventures,Venture Capital,Istanbul,Turkey,HealthTech,Seed,
38,Alate Partners,Venture Capital,Toronto,Canada,"FitnessTech, Marketplace, PropertyTech, SaaS, TransportationTech","Seed, Series A",https://pbs.twimg.com/profile_images/1450461154220945418/KsixcWpy_400x400.jpg
39,Alchemist Accelerator,Accelerator,San Francisco,USA,agTech,Pre-Seed,https://pbs.twimg.com/profile_images/596419669587722240/U149Xkt__400x400.png
40,Aleph,Venture Capital,Tel Aviv,Israel,Marketplace,Series B,https://pbs.twimg.com/profile_images/378800000081611166/898242808d8a623ff87f5abb99a78cec_400x400.png
41,Alex Blikstad,Angel,,,CryptoCurrency,Seed,
42,Alex Blum,,New York,USA,SaaS,Seed,
43,Alex Caruso,Angel,,,Blockchain,Series C,
44,Alexa Accelerator,,,USA,EdTech,Seed,
45,Alexis Ohanian,,San Francisco,USA,FinTech,"Series A, Series B",https://pbs.twimg.com/profile_images/1459690540883070980/8onHtwvr_400x400.jpg
46,AllegisCyber,Venture Capital,San Francisco,USA,SaaS,Series A,
47,Allen Miner,,Tokyo,Japan,AI,Seed,https://pbs.twimg.com/profile_images/923148696/20081002-sunbridge-allenhoriz_400x400.jpg
48,Allison Pickens,,San Francisco,USA,AI,Series A,https://pbs.twimg.com/profile_images/1187783953794490368/64Nw1Mv__400x400.jpg
49,Allogene Therapeutics,,,USA,BioTech,Series A,
50,AlphaLab,Accelerator,Pittsburgh,USA,AdTech,Seed,https://pbs.twimg.com/profile_images/2227044978/alphalab_gravatar_400x400.png
51,AltaIR Capital,"Micro VC, Venture Capital",San Francisco,USA,"Marketplace, SaaS","Pre-Seed, Seed, Series B",
52,Alter Ego Capital,,Montréal,Canada,AgTech,Series A,
53,Alternative Capital Group,,Montreal,Canada,Platform,Series A,
54,Altonomy,,Singapore,Singapore,Blockchain,Seed,https://pbs.twimg.com/profile_images/1183900476737232897/KYmiaPWF_400x400.jpg
55,Altos Ventures,Venture Capital,Menlo Park,USA,FinTech,Series C,https://pbs.twimg.com/profile_images/650096030885638144/_r6cfijL_400x400.jpg
56,Alumni Ventures Group,"Angel Group, Micro VC",Manchester,USA,"Analytics, FinTech","Pre-Seed, Seed",
57,Amaranthine,Venture Capital,San Francisco,USA,InsurTech,Series A,
58,Amazon Alexa Fund,"Corporate Venture Capital, Venture Capital",Seattle,USA,"AI, EdTech","Seed, Series A",
59,Ambix Life Science Fund I,,,USA,HealthTech,Series C,
60,Ambria Capital,Venture Capital,San Juan,Puerto Rico,BioTech,Seed,
61,American Express Ventures,"Corporate Venture Capital, Venture Capital",Palo Alto,USA,"FinTech, SaaS","Series C, Series D",
62,Amorchem,Venture Capital,Montréal,Canada,BioTech,Seed,https://pbs.twimg.com/profile_images/1113028387646443520/7bbcpgxL_400x400.png
63,Amplify Partners,Venture Capital,Menlo Park,USA,"Cybersecurity, DevTech","Pre-Seed, Seed, Series B",https://pbs.twimg.com/profile_images/854807916838174720/TP2F4BgN_400x400.jpg
64,Amplitude Venture Capital,Venture Capital,Montréal,Canada,BioTech,"Seed, Series A, Series C",
65,Andre Drummond,Angel,,,Blockchain,Series C,
66,Andre Iguodala,,San Francisco,USA,Blockchain,"Series B, Series C",https://pbs.twimg.com/profile_images/1450213928856735748/fiJGbZxV_400x400.jpg
