id,dealId,companyId,companyName,headquarters,investorId,investorName,leadInvestorFlag,ecosystemName,ecosystemSecondary,date,year,yearQuarter,roundType,investorCountry
1,1,677,Verda,Kitchener,173,Chicago ArchAngels,1,Waterloo Region,,2019-01-01,2019,2019 Q1,Pre-Seed,USA
2,1,677,Verda,Kitchener,203,Corbin Kempenaar,0,Waterloo Region,,2019-01-01,2019,2019 Q1,Pre-Seed,Canada
3,7,532,RoomVu,Vancouver,8,7 Gate Ventures,1,British Columbia,,2019-01-29,2019,2019 Q1,Pre-Seed,Canada
4,8,633,Thoughtexchange,Rossland,873,Yaletown Partners,1,British Columbia,,2019-01-30,2019,2019 Q1,Series B,Canada
5,14,566,Sitka Biopharma,British Columbia,166,Centre for Drug Research and Development,1,British Columbia,,2019-02-11,2019,2019 Q1,Series ?,Canada
6,19,623,Terramera,British Columbia,104,BDC Capital,1,British Columbia,,2019-02-21,2019,2019 Q1,Series ?,Canada
7,20,139,CMD,Vancouver,63,Amplify Partners,0,British Columbia,,2019-02-26,2019,2019 Q1,Series B,USA
8,20,139,CMD,Vancouver,228,Decibel Partners,0,British Columbia,,2019-02-26,2019,2019 Q1,Series B,USA
9,20,139,CMD,Vancouver,289,Expa,0,British Columbia,,2019-02-26,2019,2019 Q1,Series B,USA
10,20,139,CMD,Vancouver,381,GV,1,British Columbia,,2019-02-26,2019,2019 Q1,Series B,USA
11,21,186,DOZR,Kitchener,100,BaseCamp Equity Partners,1,Waterloo Region,,2019-02-27,2019,2019 Q1,Series A,USA
12,21,186,DOZR,Kitchener,297,Fair Ventures,0,Waterloo Region,,2019-02-27,2019,2019 Q1,Series A,Canada
13,21,186,DOZR,Kitchener,469,Juan Carlos Mas,1,Waterloo Region,,2019-02-27,2019,2019 Q1,Series A,USA
14,22,215,eSentire,Waterloo Region,264,Edison Partners,0,Waterloo Region,,2019-03-04,2019,2019 Q1,Series ?,USA
15,22,215,eSentire,Waterloo Region,346,Georgian,0,Waterloo Region,,2019-03-04,2019,2019 Q1,Series ?,Canada
16,22,215,eSentire,Waterloo Region,855,Warburg Pincus,1,Waterloo Region,,2019-03-04,2019,2019 Q1,Series ?,USA
17,26,717,ZayZoon,Calgary,235,Derrick Hunter,1,Alberta,Calgary,2019-03-12,2019,2019 Q1,Series ?,Canada
18,26,717,ZayZoon,Calgary,696,Russell Wilson,1,Alberta,Calgary,2019-03-12,2019,2019 Q1,Series ?,Australia
19,29,93,Bridgit,Waterloo,104,BDC Capital,1,Waterloo Region,,2019-03-18,2019,2019 Q1,Series A,Canada
21,29,93,Bridgit,Waterloo,429,Innovation Grade Capital,0,Waterloo Region,,2019-03-18,2019,2019 Q1,Series A,Canada
22,29,93,Bridgit,Waterloo,532,MaRS Investment Accelerator Fund,0,Waterloo Region,,2019-03-18,2019,2019 Q1,Series A,Canada
23,29,93,Bridgit,Waterloo,703,Salesforce Ventures,0,Waterloo Region,,2019-03-18,2019,2019 Q1,Series A,USA
24,29,93,Bridgit,Waterloo,706,Sands Capital Ventures,0,Waterloo Region,,2019-03-18,2019,2019 Q1,Series A,USA
25,29,93,Bridgit,Waterloo,746,StandUp Ventures,0,Waterloo Region,,2019-03-18,2019,2019 Q1,Series A,Canada
26,29,93,Bridgit,Waterloo,835,Vanedge Capital,0,Waterloo Region,,2019-03-18,2019,2019 Q1,Series A,Canada
27,31,55,Avidbots,Kitchener,7,500 Startups,0,Waterloo Region,,2019-03-21,2019,2019 Q1,Series B,USA
28,31,55,Avidbots,Kitchener,104,BDC Capital,0,Waterloo Region,,2019-03-21,2019,2019 Q1,Series B,Canada
29,31,55,Avidbots,Kitchener,347,GGV Capital,0,Waterloo Region,,2019-03-21,2019,2019 Q1,Series B,USA
30,31,55,Avidbots,Kitchener,473,KCPL,0,Waterloo Region,,2019-03-21,2019,2019 Q1,Series B,Canada
31,31,55,Avidbots,Kitchener,589,Next47,0,Waterloo Region,,2019-03-21,2019,2019 Q1,Series B,USA
32,31,55,Avidbots,Kitchener,671,Real Ventures,0,Waterloo Region,,2019-03-21,2019,2019 Q1,Series B,Canada
33,31,55,Avidbots,Kitchener,733,SOSV,0,Waterloo Region,,2019-03-21,2019,2019 Q1,Series B,USA
34,31,55,Avidbots,Kitchener,814,True Ventures,1,Waterloo Region,,2019-03-21,2019,2019 Q1,Series B,USA
36,34,565,SiteVue,Kitchener,251,DMZ,0,Waterloo Region,,2019-03-27,2019,2019 Q1,Series ?,Canada
37,34,565,SiteVue,Kitchener,839,Velocity,1,Waterloo Region,,2019-03-27,2019,2019 Q1,Series ?,Canada
38,47,584,Spare,Vancouver,561,Mitsubishi,1,British Columbia,,2019-04-30,2019,2019 Q2,Seed,Canada
39,54,472,PDFTron,British Columbia,723,Silversmith Capital Partners,1,British Columbia,,2019-05-16,2019,2019 Q2,Series ?,USA
40,55,490,PocketPills,Surrey,857,WaterBridge Ventures,1,British Columbia,,2019-05-17,2019,2019 Q2,Seed,India
